"fasta_id","sampling_date"
"WUHAN",2020-01-01
"ALPHA",2021-01-21
"OQ800894.1",2022-05-26
"OQ800895.1",2022-04-26
"OQ800896.1",2023-01-18
"OQ800897.1",2022-04-22
"OQ800898.1",2022-12-02
"OQ800900.1",2022-04-21
"OQ800901.1",2022-11-25
"OQ800902.1",2023-01-19
"OQ800903.1",2023-01-09
"OQ800904.1",2022-11-23
"OQ800905.1",2022-07-13
"OQ800906.1",2022-10-06
"OQ800907.1",2022-11-30
"OQ800908.1",2023-01-07
"OQ800909.1",2022-01-29
"OQ800910.1",2022-05-14
"OQ866542.1",2022-04-29
"OQ866543.1",2022-11-27
"OQ866544.1",2022-06-18
"OQ866545.1",2022-05-08
"OQ866546.1",2022-04-10
"OQ866547.1",2022-04-22
"OQ866548.1",2022-04-24
"OQ866549.1",2022-10-19
"OQ866550.1",2022-09-06
"OQ866551.1",2022-04-23
"OQ866552.1",2022-11-30
"OQ866553.1",2023-02-19
"OQ866554.1",2022-01-12
"OQ866555.1",2022-01-12
"OQ866556.1",2022-10-24
"OQ866557.1",2022-10-07
"OQ866558.1",2022-10-24
"OQ866559.1",2022-04-29
"OQ866560.1",2022-01-13
"OQ866562.1",2022-01-20
"OQ866563.1",2022-11-24
"OQ866561.1",2022-01-12
"OQ866565.1",2023-01-08
"OQ866566.1",2022-11-23
"OQ866567.1",2022-01-12
"OQ866568.1",2022-05-04
"OQ866569.1",2022-01-12
"OQ866570.1",2023-01-03
"OQ866571.1",2022-10-26
"OQ866572.1",2022-11-25
"OQ866573.1",2022-12-01
"OQ866574.1",2022-06-17
"OQ866575.1",2022-05-05
"OQ866576.1",2022-12-14
"OQ866577.1",2022-05-11
"OQ866578.1",2022-04-20
